,carat,cut,color,clarity,depth,table,x,y,z,cut_group,color_group,clarity_group,price_predicted
2174,0.51,Ideal,I,VS2,62.1,55.0,5.1,5.13,3.17,1,2,3,1646.5764061132486
2175,0.75,Ideal,G,VS2,60.6,55.0,5.91,5.93,3.59,1,2,3,3388.6875248029974
2176,0.27,Ideal,E,VVS1,62.3,56.0,4.17,4.15,2.59,1,1,2,186.05185862762664
2177,0.49,Good,F,VS1,58.9,60.5,5.17,5.21,3.05,2,1,3,1234.7478430941264
2178,0.34,Good,G,VS2,63.1,57.0,4.43,4.47,2.81,2,2,3,386.4152835629138
2179,0.41,Ideal,D,SI1,62.3,55.0,4.79,4.77,2.98,1,1,4,873.7522276514283
2180,0.34,Premium,D,SI1,62.0,58.0,4.47,4.43,2.76,1,1,4,676.6447939631835
2181,0.92,Premium,H,SI1,62.0,60.0,6.21,6.27,3.87,1,2,4,3503.7307682379233
2182,0.91,Good,H,VS2,63.1,59.0,6.13,6.16,3.88,2,2,3,4200.39887035251
2183,0.61,Ideal,F,VVS2,61.5,55.0,5.47,5.53,3.38,1,1,2,3751.8622091623165
2184,1.57,Good,G,VS2,57.8,60.0,7.66,7.6,4.41,2,2,3,10596.12491499922
2185,0.31,Premium,F,IF,61.5,58.0,4.35,4.33,2.67,1,1,1,1078.1195216698252
2186,1.58,Ideal,J,VVS1,61.5,56.0,7.48,7.5,4.61,1,2,2,13621.709640442083
2187,1.08,Premium,H,SI1,62.6,56.0,6.58,6.52,4.1,1,2,4,4837.879205843066
2188,0.54,Good,D,SI1,57.9,60.0,5.36,5.39,3.11,2,1,4,1265.1546566517754
2189,0.45,Ideal,G,IF,62.8,53.0,4.92,4.95,3.1,1,2,1,1611.4902775799546
2190,0.7,Premium,F,SI2,62.9,57.0,5.64,5.61,3.53,1,1,4,2496.4553710085456
2191,0.43,Ideal,D,VS1,61.6,56.0,4.85,4.86,2.99,1,1,3,1151.165883092137
2192,1.04,Ideal,F,VS2,62.1,57.0,6.53,6.48,4.04,1,1,3,7096.602330413914
2193,1.21,Ideal,D,VS2,60.9,60.0,6.91,6.86,4.19,1,1,3,9485.309050342676
2194,0.65,Very Good,F,SI1,60.0,63.0,5.62,5.54,3.35,2,1,4,1606.7347608216005
2195,1.31,Ideal,H,VS1,61.5,55.0,7.02,7.05,4.33,1,2,3,8476.043432270862
2196,0.3,Very Good,E,IF,60.9,59.0,4.29,4.32,2.62,2,1,1,927.9063128076996
2197,1.02,Good,E,SI1,63.7,62.0,6.31,6.4,4.05,2,1,4,4810.8277733314535
2198,0.7,Ideal,J,VS1,61.6,57.0,5.72,5.77,3.54,1,2,3,2865.6153837197908
2199,0.3,Ideal,G,VVS2,62.4,55.0,4.32,4.34,2.7,1,2,2,641.2336294176803
2200,0.32,Ideal,G,VVS2,61.4,55.0,4.4,4.43,2.71,1,2,2,838.981041986548
2201,2.01,Good,G,SI1,63.9,60.0,7.81,7.75,4.97,2,2,4,12995.768638763639
2202,0.6,Ideal,I,SI1,60.7,58.0,5.43,5.45,3.3,1,2,4,1531.314843832526
2203,1.03,Very Good,G,VS1,60.7,58.0,6.5,6.55,3.96,2,2,3,5470.575833312347
2204,2.18,Very Good,G,SI2,63.1,58.0,8.29,8.23,5.21,2,2,4,14225.202217846905
2205,2.3,Ideal,G,SI2,61.6,57.0,8.47,8.41,5.2,1,2,4,16066.834708243288
2206,1.02,Very Good,F,SI1,60.7,59.0,6.49,6.55,3.96,2,1,4,4936.557614420963
2207,0.31,Ideal,H,VVS2,62.5,55.0,4.34,4.37,2.72,1,2,2,732.9842753036482
2208,2.04,Very Good,H,SI2,60.0,60.0,8.21,8.17,4.91,2,2,4,13132.832316731663
2209,0.31,Premium,E,VS1,61.0,60.0,4.37,4.35,2.66,1,1,3,660.2908754245982
2210,0.51,Premium,H,SI2,60.0,62.0,5.18,5.15,3.1,1,2,4,821.8395155957878
2211,0.72,Ideal,D,VS1,60.9,56.0,5.79,5.86,3.55,1,1,3,3380.913152542613
2212,0.32,Ideal,E,VS2,61.3,57.0,4.45,4.42,2.72,1,1,3,614.474392997945
2213,0.92,Ideal,D,VS2,61.4,56.0,6.26,6.28,3.85,1,1,3,5760.627025474549
2214,0.7,Premium,F,SI1,61.0,60.0,5.75,5.72,3.5,1,1,4,2192.038104021456
2215,0.31,Ideal,E,VS2,62.0,55.0,4.33,4.35,2.69,1,1,3,957.4151724217008
2216,1.01,Very Good,I,SI1,64.4,54.0,6.31,6.4,4.09,2,2,4,4296.445980627148
2217,1.0,Very Good,F,VS1,62.1,60.0,6.33,6.42,3.96,2,1,3,6339.3313830269435
2218,0.72,Premium,J,SI1,60.9,57.0,5.84,5.78,3.54,1,2,4,2135.7423953576817
2219,0.9,Ideal,H,VS1,61.8,56.0,6.18,6.24,3.84,1,2,3,4635.510603539526
2220,0.91,Premium,G,SI2,60.1,62.0,6.24,6.2,3.73,1,2,4,3433.1234565437953
2221,0.72,Premium,H,SI2,61.8,56.0,5.79,5.73,3.56,1,2,4,2193.7944858470164
2222,0.52,Ideal,E,SI2,60.9,56.0,5.2,5.23,3.17,1,1,4,1296.6153499245484
2223,0.42,Premium,F,VS2,61.9,58.0,4.8,4.76,2.96,1,1,3,1032.189777833908
2224,0.7,Ideal,G,SI1,61.6,56.0,5.69,5.73,3.52,1,2,4,2200.7768410025674
2225,1.2,Very Good,G,SI1,63.4,55.0,6.72,6.65,4.24,2,2,4,5492.822396566513
2226,1.71,Very Good,F,VS2,63.5,59.0,7.51,7.46,4.75,2,1,3,16996.42379296083
2227,0.7,Fair,F,I1,65.9,57.0,5.64,5.5,3.67,3,1,5,1163.3418584541705
2228,1.59,Ideal,H,VS1,61.8,57.0,7.42,7.49,4.61,1,2,3,11227.670201884457
2229,0.85,Ideal,G,SI1,62.2,56.0,6.04,6.09,3.77,1,2,4,3218.2045151353304
2230,0.5,Good,E,SI2,63.2,61.0,5.02,5.05,3.18,2,1,4,885.692083731712
2231,1.5,Premium,E,SI2,61.2,59.0,7.41,7.36,4.52,1,1,4,9594.041761455826
2232,0.65,Ideal,J,SI1,61.9,54.0,5.6,5.62,3.47,1,2,4,1851.196319314684
2233,0.52,Ideal,H,SI2,61.0,55.0,5.19,5.23,3.18,1,2,4,1210.8362537276043
2234,1.22,Ideal,H,SI1,61.9,55.0,6.82,6.87,4.24,1,2,4,6217.26280212886
2235,1.7,Premium,G,VS2,59.0,58.0,7.85,7.8,4.62,1,2,3,12093.211569323192
2236,1.07,Premium,I,I1,59.8,59.0,6.68,6.62,3.98,1,2,5,2728.839432083714
2237,0.31,Premium,G,SI1,61.8,60.0,4.35,4.32,2.68,1,2,4,91.62133219257885
2238,0.3,Good,G,VS1,63.1,56.0,4.24,4.26,2.68,2,2,3,335.2926322378007
2239,0.58,Fair,F,I1,66.3,55.0,5.18,5.1,3.41,3,1,5,1047.8362964942226
2240,0.31,Ideal,D,VVS2,61.9,57.0,4.35,4.31,2.68,1,1,2,553.0426906144967
2241,0.4,Ideal,D,SI1,59.6,57.0,4.82,4.77,2.86,1,1,4,936.7853011476109
2242,1.12,Ideal,D,I1,60.6,55.0,6.73,6.76,4.09,1,1,5,4118.931099364869
2243,0.51,Ideal,F,VVS2,62.2,56.0,5.12,5.08,3.17,1,1,2,2510.5393085628857
2244,0.56,Ideal,J,VS2,61.4,56.0,5.32,5.34,3.27,1,2,3,1888.8028684240599
2245,1.28,Ideal,G,VVS2,61.2,54.0,7.03,7.06,4.31,1,2,2,9947.548549747551
2246,0.8,Fair,G,I1,64.5,57.0,5.86,5.83,3.77,3,2,5,1563.7176385305575
2247,1.54,Ideal,G,VS2,60.6,57.0,7.55,7.49,4.56,1,2,3,10428.43966153319
2248,2.5,Fair,G,SI2,67.0,57.0,8.36,8.29,5.58,3,2,4,15795.817065341402
2249,0.9,Very Good,F,VS2,62.3,59.0,6.1,6.16,3.82,2,1,3,5266.161593011217
2250,0.4,Very Good,J,VS2,60.9,62.0,4.73,4.76,2.89,2,2,3,495.2874822569356
2251,1.07,Premium,H,VS2,62.1,59.0,6.52,6.56,4.06,1,2,3,5976.811880826825
2252,0.55,Premium,D,SI1,62.7,59.0,5.25,5.22,3.28,1,1,4,1266.5526870472786
2253,2.01,Premium,I,SI2,58.2,61.0,8.24,8.2,4.78,1,2,4,13102.061130665716
2254,0.5,Ideal,E,VS2,62.5,57.0,5.1,5.04,3.17,1,1,3,1341.0610313237667
2255,1.04,Very Good,D,IF,61.3,56.0,6.53,6.55,4.01,2,1,1,11794.529805071557
2256,0.35,Premium,D,SI2,62.3,58.0,4.54,4.48,2.81,1,1,4,605.6758902585061
2257,0.34,Ideal,I,VVS1,61.8,56.0,4.47,4.5,2.77,1,2,2,857.9783367221044
2258,0.3,Ideal,H,SI1,62.9,57.0,4.27,4.22,2.67,1,2,4,182.53471181580244
2259,1.12,Premium,G,I1,60.3,60.0,6.75,6.69,4.05,1,2,5,3008.9996787460077
2260,1.01,Premium,D,SI1,62.9,59.0,6.43,6.39,4.03,1,1,4,4735.146517760702
2261,0.36,Premium,E,VS1,61.3,58.0,4.58,4.56,2.8,1,1,3,847.1972837879766
2262,0.73,Premium,G,SI1,60.8,58.0,5.82,5.85,3.55,1,2,4,2265.739118099298
2263,1.16,Ideal,G,VS2,62.5,56.0,6.67,6.73,4.19,1,2,3,7009.630791129333
2264,1.51,Ideal,H,SI1,61.3,56.0,7.44,7.4,4.55,1,2,4,8486.61590094765
2265,0.7,Good,I,VS1,63.1,57.0,5.59,5.67,3.55,2,2,3,2706.682402229979
2266,1.0,Very Good,D,SI2,60.5,60.0,6.41,6.44,3.89,2,1,4,4814.974177250431
2267,0.31,Good,H,VVS2,63.4,56.0,4.29,4.32,2.73,2,2,2,558.7245834572568
2268,0.3,Ideal,F,VS2,61.6,57.0,4.33,4.3,2.66,1,1,3,704.8206987706944
2269,0.57,Premium,F,SI1,62.1,59.0,5.31,5.28,3.29,1,1,4,1478.7537769086703
2270,0.9,Premium,D,SI2,59.2,60.0,6.34,6.3,3.74,1,1,4,3713.2540949006507
2271,0.54,Ideal,F,VS2,63.0,57.0,5.22,5.18,3.28,1,1,3,1522.9485271118574
2272,0.59,Ideal,E,VS2,60.2,59.0,5.47,5.49,3.3,1,1,3,1918.415954160304
2273,0.91,Ideal,F,SI2,62.4,57.0,6.22,6.18,3.87,1,1,4,4045.3498015386103
2274,0.33,Very Good,I,VS1,63.2,57.0,4.4,4.37,2.77,2,2,3,302.6613702142113
2275,0.41,Good,F,VVS2,63.6,56.0,4.72,4.68,2.99,2,1,2,1235.8368309422513
2276,1.23,Very Good,J,VS2,62.9,59.0,6.8,6.85,4.29,2,2,3,7080.0961813664235
2277,0.42,Ideal,I,VVS1,62.0,55.0,4.88,4.8,3.0,1,2,2,1105.9597133588813
2278,1.31,Premium,I,VS2,60.4,59.0,7.16,7.05,4.29,1,2,3,8051.047197314846
2279,0.35,Ideal,F,VS1,62.4,57.0,4.52,4.49,2.81,1,1,3,773.2252439751646
2280,1.16,Premium,G,SI1,63.0,58.0,6.7,6.66,4.21,1,2,4,5408.545571691398
2281,0.34,Very Good,H,VS1,61.3,56.0,4.48,4.53,2.76,2,2,3,593.5020857681593
2282,0.44,Premium,E,SI1,62.3,59.0,4.84,4.88,3.03,1,1,4,760.5135774376613
2283,0.34,Ideal,I,SI1,61.9,57.0,4.49,4.52,2.79,1,2,4,312.89186728613277
2284,0.7,Good,I,SI1,61.6,63.0,5.59,5.68,3.47,2,2,4,2199.292488128376
2285,0.4,Premium,H,VS1,62.6,58.0,4.68,4.71,2.94,1,2,3,776.7086776858396
2286,0.78,Very Good,F,SI2,62.4,59.0,5.86,5.91,3.67,2,1,4,2882.132849069625
2287,0.9,Very Good,G,SI2,64.2,56.0,6.04,6.11,3.9,2,2,4,3449.882907554409
2288,0.55,Premium,D,SI1,61.6,56.0,5.28,5.24,3.24,1,1,4,1571.839990986664
2289,1.11,Premium,G,VS2,60.4,58.0,6.76,6.72,4.07,1,2,3,6283.014965357303
2290,1.33,Premium,I,VS1,61.5,58.0,7.06,7.02,4.33,1,2,3,8454.909316460305
2291,0.41,Premium,G,VS2,61.4,59.0,4.79,4.75,2.93,1,2,3,751.4980307941205
2292,0.34,Ideal,F,SI2,60.1,56.0,4.54,4.55,2.73,1,1,4,763.9107468905677
2293,1.42,Premium,H,SI1,62.3,58.0,7.15,7.19,4.47,1,2,4,7769.083687257318
2294,0.28,Ideal,F,VVS2,61.8,56.0,4.22,4.26,2.62,1,1,2,342.42332893379717
2295,1.04,Good,D,SI2,57.6,63.0,6.67,6.7,3.85,2,1,4,4976.332743423163
2296,0.59,Ideal,J,VS2,60.8,57.0,5.47,5.42,3.31,1,2,3,1978.2859784297307
2297,0.5,Premium,D,SI1,61.2,60.0,5.14,5.09,3.13,1,1,4,1021.3557980056357
2298,0.95,Very Good,E,SI1,62.8,59.0,6.21,6.25,3.91,2,1,4,4356.903990145265
2299,0.3,Ideal,G,VS1,61.8,57.0,4.29,4.32,2.66,1,2,3,386.2499470615967
2300,0.71,Ideal,F,VS1,61.5,57.0,5.74,5.71,3.52,1,1,3,3314.9590919644234
2301,0.56,Very Good,G,VS1,60.2,56.0,5.35,5.37,3.23,2,2,3,1827.7797118723847
2302,1.02,Very Good,H,SI1,62.8,59.0,6.33,6.38,3.99,2,2,4,4336.532734125416
2303,0.47,Very Good,H,VS2,57.2,60.0,5.18,5.21,2.97,2,2,3,1142.3285836447794
2304,1.15,Premium,G,SI1,62.2,56.0,6.76,6.68,4.18,1,2,4,5362.548946822551
2305,0.81,Very Good,H,VS1,62.2,57.0,5.91,5.94,3.69,2,2,3,3610.752150700473
2306,1.52,Very Good,F,SI2,63.1,60.0,7.25,7.21,4.56,2,1,4,9755.45099446642
2307,1.59,Very Good,H,VVS2,63.0,58.0,7.43,7.48,4.7,2,2,2,12521.292998733692
2308,1.14,Premium,F,SI1,59.6,58.0,6.8,6.78,4.05,1,1,4,6076.60821547854
2309,0.33,Ideal,E,VVS1,61.6,56.0,4.44,4.46,2.74,1,1,2,801.0961844107296
2310,0.24,Ideal,G,VVS2,61.2,56.0,3.99,4.02,2.45,1,2,2,659.8408951228721
2311,0.56,Very Good,H,SI2,62.0,63.0,5.26,5.21,3.27,2,2,4,824.622269501022
2312,1.53,Premium,H,SI2,62.5,59.0,7.4,7.36,4.61,1,2,4,8501.602928801662
2313,0.4,Ideal,I,VS1,60.9,56.0,4.76,4.8,2.91,1,2,3,948.6115150972637
2314,0.33,Ideal,H,VS1,62.0,55.0,4.46,4.44,2.76,1,2,3,533.4861544518844
2315,0.7,Very Good,I,SI2,62.4,58.0,5.64,5.68,3.53,2,2,4,2053.494658749114
2316,1.24,Premium,H,SI1,60.4,59.0,6.97,6.93,4.2,1,2,4,6077.799083203065
2317,0.54,Ideal,E,VS2,61.3,55.0,5.24,5.26,3.22,1,1,3,1887.8900264563163
2318,1.31,Very Good,H,VS2,60.4,58.0,7.04,7.09,4.27,2,2,3,8117.567755288824
2319,0.51,Good,H,SI1,63.7,56.0,5.07,5.1,3.24,2,2,4,891.5000178385089
2320,0.31,Ideal,G,IF,61.0,56.0,4.37,4.39,2.67,1,2,1,783.1654949059066
2321,0.7,Ideal,D,SI1,61.2,54.0,5.79,5.75,3.53,1,1,4,2492.5398168981446
2322,0.9,Ideal,H,VVS2,62.0,57.0,6.15,6.2,3.83,1,2,2,5323.664603098428
2323,0.3,Very Good,D,SI2,61.2,60.0,4.28,4.31,2.63,2,1,4,348.4102064241524
2324,1.02,Very Good,G,VS2,63.5,56.0,6.43,6.38,4.07,2,2,3,5161.073432919375
2325,1.13,Very Good,I,VS1,61.7,54.0,6.71,6.74,4.15,2,2,3,6472.051302112868
2326,0.43,Very Good,F,SI1,62.5,56.0,4.82,4.85,3.02,2,1,4,825.8655397167895
2327,1.27,Very Good,I,VS1,60.6,59.0,7.04,6.96,4.24,2,2,3,7470.546651833945
2328,1.52,Ideal,I,VS1,62.4,57.0,7.32,7.36,4.58,1,2,3,10418.381820509027
2329,0.35,Premium,F,VS2,61.4,59.0,4.53,4.56,2.79,1,1,3,720.6937747210031
2330,0.3,Very Good,G,SI1,62.5,56.0,4.27,4.3,2.68,2,2,4,507.5412658840869
2331,0.56,Ideal,H,IF,60.4,57.0,5.35,5.39,3.24,1,2,1,2667.2140831481247
2332,0.51,Ideal,F,VVS2,61.8,56.0,5.13,5.16,3.18,1,1,2,2552.5712183356045
2333,0.71,Very Good,H,SI1,61.5,56.0,5.71,5.75,3.53,2,2,4,2284.090390823454
2334,0.3,Ideal,F,SI1,62.1,55.0,4.31,4.35,2.69,1,1,4,588.7757113358057
2335,0.41,Premium,F,VS2,61.6,59.0,4.74,4.77,2.93,1,1,3,1027.5540679813603
2336,0.5,Premium,E,VS1,62.8,59.0,5.09,5.0,3.17,1,1,3,1234.192100821867
2337,0.56,Ideal,D,VS2,60.6,56.0,5.33,5.37,3.24,1,1,3,2004.819458419839
2338,1.27,Ideal,F,SI2,62.0,55.0,6.9,6.95,4.3,1,1,4,7563.655136689398
2339,1.06,Premium,D,VS2,62.3,59.0,6.48,6.52,4.05,1,1,3,7570.9589872878205
2340,1.07,Premium,D,IF,60.9,58.0,6.67,6.57,4.03,1,1,1,12389.392285276786
2341,1.02,Premium,G,SI1,63.0,55.0,6.45,6.4,4.05,1,2,4,4383.253441916077
2342,1.0,Very Good,H,SI1,63.4,56.0,6.37,6.34,4.03,2,2,4,3814.917662707725
2343,0.34,Ideal,F,VS2,62.5,55.0,4.51,4.48,2.81,1,1,3,675.656444345419
2344,1.2,Very Good,G,SI2,61.8,60.0,6.78,6.85,4.21,2,2,4,5707.673084102273
2345,0.58,Ideal,E,VS2,61.6,55.0,5.33,5.38,3.3,1,1,3,2290.691146331703
2346,0.3,Good,H,SI1,63.8,55.0,4.2,4.26,2.7,2,2,4,559.551886022844
2347,2.0,Premium,D,SI2,61.6,59.0,8.09,8.2,5.02,1,1,4,14932.41904923485
2348,0.3,Premium,E,VS1,61.4,59.0,4.32,4.28,2.64,1,1,3,694.3354904936095
2349,0.3,Ideal,E,VVS2,61.1,57.0,4.34,4.36,2.65,1,1,2,520.6678568234565
2350,1.01,Very Good,H,SI2,63.4,55.0,6.35,6.29,4.01,2,2,4,3986.7711567999977
2351,0.43,Premium,D,SI1,61.2,58.0,4.87,4.83,2.97,1,1,4,917.9096160327463
2352,0.51,Premium,F,VS1,60.2,58.0,5.25,5.21,3.15,1,1,3,1232.3187434813335
2353,1.0,Premium,E,SI1,61.9,62.0,6.4,6.34,3.94,1,1,4,4636.398410678958
2354,0.31,Ideal,H,VVS2,61.2,56.0,4.34,4.37,2.66,1,2,2,852.204515563486
2355,0.31,Ideal,G,VVS1,61.9,55.0,4.36,4.3,2.68,1,2,2,814.0667791124961
2356,0.51,Ideal,I,SI1,62.5,57.0,5.07,5.1,3.18,1,2,4,1047.191801455272
2357,0.77,Premium,D,VS2,61.3,60.0,5.92,5.89,3.62,1,1,3,3694.474966787144
2358,0.7,Ideal,G,SI2,61.2,56.0,5.73,5.78,3.52,1,2,4,2159.3822843280905
2359,0.58,Very Good,E,SI2,59.0,62.0,5.46,5.49,3.23,2,1,4,1299.8828540390314
2360,0.74,Very Good,H,SI1,62.4,58.0,5.71,5.76,3.58,2,2,4,2420.2415725519168
2361,0.35,Very Good,E,IF,57.9,56.0,4.71,4.75,2.74,2,1,1,775.9742893118164
2362,0.52,Ideal,E,VS2,61.2,56.0,5.16,5.23,3.18,1,1,3,1728.5579434457177
2363,0.31,Ideal,F,VS2,62.8,56.0,4.32,4.28,2.7,1,1,3,865.6194339132599
2364,1.54,Premium,G,SI1,60.5,61.0,7.47,7.44,4.51,1,2,4,8606.605810408048
2365,0.76,Very Good,H,IF,62.6,57.0,5.8,5.83,3.64,2,2,1,4086.2015480677833
2366,0.27,Very Good,E,VVS2,62.5,59.0,4.09,4.14,2.57,2,1,2,579.8508559972797
2367,0.91,Premium,D,SI2,61.0,61.0,6.24,6.16,3.78,1,1,4,3969.342277010568
2368,0.53,Good,D,VS2,58.4,58.0,5.31,5.38,3.12,2,1,3,1666.6624299367322
2369,1.5,Good,D,SI2,60.2,65.0,7.37,7.34,4.43,2,1,4,9316.10306766307
2370,0.33,Ideal,E,VS1,60.6,57.0,4.5,4.54,2.74,1,1,3,654.1662198981321
2371,0.91,Good,E,I1,57.7,63.0,6.35,6.3,3.65,2,1,5,2221.5899485522386
2372,0.55,Very Good,I,VS2,61.0,57.0,5.31,5.32,3.24,2,2,3,1600.095722208429
2373,1.08,Good,E,SI2,63.7,57.0,6.54,6.49,4.15,2,1,4,5253.416240907249
2374,0.52,Premium,G,VVS1,61.9,61.0,5.13,5.11,3.17,1,2,2,1591.0745761833296
2375,0.24,Very Good,E,VS1,60.1,57.0,4.08,4.1,2.46,2,1,3,726.5443724834768
2376,0.36,Ideal,D,VS2,62.5,55.0,4.55,4.57,2.85,1,1,3,897.3589810013546
2377,1.0,Fair,F,SI2,65.5,56.0,6.3,6.19,4.09,3,1,4,3886.2855326909057
2378,0.75,Premium,H,VS2,60.8,57.0,5.9,5.87,3.58,1,2,3,3245.192921480433
2379,0.78,Premium,H,SI2,59.7,59.0,6.03,5.97,3.58,1,2,4,2495.4359972970706
2380,0.31,Ideal,E,VS1,61.3,55.0,4.36,4.38,2.68,1,1,3,920.5754802193951
2381,0.36,Ideal,H,VS2,61.0,55.0,4.59,4.62,2.81,1,2,3,803.9174293310261
2382,0.41,Ideal,D,VVS2,62.1,56.0,4.76,4.78,2.96,1,1,2,1467.14281405144
2383,0.34,Premium,E,SI2,62.4,59.0,4.46,4.42,2.77,1,1,4,574.9572272334917
2384,0.6,Premium,E,VS1,61.0,61.0,5.46,5.39,3.31,1,1,3,2001.2598313088165
2385,1.01,Premium,E,SI1,61.7,56.0,6.44,6.39,3.96,1,1,4,5112.89932423925
2386,1.73,Premium,G,VS2,62.9,58.0,7.65,7.58,4.79,1,2,3,12379.48461094905
2387,1.02,Very Good,H,SI1,64.4,59.0,6.24,6.36,4.06,2,2,4,4423.36374274853
2388,1.02,Ideal,G,VS2,62.3,55.0,6.45,6.48,4.03,1,2,3,5677.272687465178
2389,0.63,Very Good,E,SI1,61.0,57.6,5.48,5.51,3.36,2,1,4,1979.7550757356494
2390,0.31,Very Good,G,VVS2,62.9,58.0,4.27,4.31,2.7,2,2,2,591.7147557757417
2391,0.76,Ideal,E,VS2,62.1,55.0,5.84,5.88,3.64,1,1,3,3888.9312680828752
2392,0.4,Ideal,F,IF,60.9,57.0,4.81,4.84,2.94,1,1,1,1316.905470241356
2393,1.08,Premium,I,SI2,62.7,57.0,6.57,6.53,4.11,1,2,4,4789.597517672144
2394,1.21,Good,G,I1,64.0,59.0,6.78,6.73,4.32,2,2,5,3317.231423720971
2395,0.9,Good,H,VS2,61.5,61.0,6.15,6.24,3.81,2,2,3,4144.257328788481
2396,1.5,Premium,F,VS2,61.5,58.0,7.34,7.36,4.52,1,1,3,14223.867512312543
2397,0.5,Very Good,D,VS2,62.8,58.0,5.0,5.03,3.15,2,1,3,1447.350638406242
2398,0.82,Very Good,I,VS1,63.6,58.9,5.88,5.93,3.76,2,2,3,3465.578042768677
2399,0.31,Ideal,I,SI1,62.2,56.0,4.37,4.34,2.71,1,2,4,229.04776047663472
2400,0.36,Very Good,E,VS2,61.3,60.0,4.55,4.59,2.8,2,1,3,648.8590411188125
2401,0.79,Ideal,I,SI2,62.1,56.0,5.92,5.97,3.69,1,2,4,2745.9158238410437
2402,0.3,Premium,D,VS2,61.9,58.0,4.32,4.28,2.66,1,1,3,669.1926811180856
2403,0.7,Ideal,D,SI2,60.4,56.0,5.78,5.81,3.5,1,1,4,2335.4205748578606
2404,1.35,Very Good,J,VS1,62.1,56.0,7.04,7.1,4.39,2,2,3,8510.4136085862
2405,0.44,Ideal,D,VS1,61.1,56.0,4.95,4.91,3.01,1,1,3,1037.96024995283
2406,0.33,Ideal,F,IF,62.1,56.0,4.41,4.44,2.75,1,1,1,1167.0953552084975
2407,0.74,Ideal,F,SI1,62.5,56.0,5.8,5.76,3.61,1,1,4,2766.432644679244
2408,1.1,Ideal,F,VS2,60.7,57.0,6.66,6.7,4.05,1,1,3,8244.447524643221
2409,0.4,Premium,F,VS2,59.3,59.0,4.83,4.79,2.85,1,1,3,893.5523296047286
2410,1.83,Fair,J,I1,70.0,58.0,7.34,7.28,5.12,3,2,5,5392.547313247332
2411,0.71,Ideal,F,VS2,61.6,56.0,5.74,5.77,3.54,1,1,3,3301.005324273445
2412,1.0,Ideal,E,SI2,62.0,57.0,6.37,6.41,3.96,1,1,4,4863.757772316527
2413,2.0,Very Good,H,SI1,63.3,59.0,8.02,8.0,5.07,2,2,4,12556.61741919602
2414,2.03,Premium,G,SI1,61.9,59.0,8.14,8.09,5.02,1,2,4,13233.205424886894
2415,1.0,Fair,F,SI2,65.5,54.0,6.2,6.16,4.05,3,1,4,4247.147734361505
2416,0.9,Very Good,G,SI1,62.9,56.0,6.11,6.17,3.86,2,2,4,3496.7470826003555
2417,0.41,Ideal,F,VVS2,61.2,56.0,4.78,4.8,2.93,1,1,2,1580.0526868070883
2418,0.41,Ideal,F,VVS1,61.8,57.0,4.75,4.79,2.95,1,1,2,1514.619209702898
2419,1.51,Premium,F,VS2,61.6,58.0,7.32,7.35,4.52,1,1,3,14525.47887260031
2420,1.16,Very Good,H,SI2,63.2,57.0,6.66,6.7,4.22,2,2,4,5310.514496186261
2421,0.54,Ideal,G,VS1,61.8,56.0,5.21,5.26,3.24,1,2,3,1800.039637576192
2422,1.54,Very Good,D,SI1,63.0,59.0,7.31,7.35,4.62,2,1,4,10006.425972741588
2423,2.07,Premium,H,SI1,61.1,58.0,8.27,8.2,5.03,1,2,4,13602.03506005773
2424,0.41,Ideal,J,VVS1,62.0,57.0,4.79,4.73,2.95,1,2,2,1057.3890149540184
2425,1.54,Ideal,F,VS1,60.5,56.0,7.52,7.49,4.54,1,1,3,14792.27881487849
2426,0.42,Premium,F,VS1,61.8,59.0,4.83,4.81,2.98,1,1,3,802.4009451978927
2427,1.12,Premium,G,I1,60.4,59.0,6.71,6.67,0.0,1,2,5,4051.835020343984
2428,1.0,Ideal,G,VVS2,62.8,53.9,6.37,6.42,4.02,1,2,2,6337.086664626351
2429,1.01,Premium,I,VVS1,62.0,59.0,6.39,6.32,3.94,1,2,2,6526.869065570181
2430,1.7,Good,I,I1,63.6,58.0,7.52,7.48,4.77,2,2,5,5398.567264437544
2431,0.31,Ideal,F,VVS1,60.6,56.0,4.44,4.41,2.68,1,1,2,583.5926618535268
2432,0.3,Very Good,F,IF,62.5,56.0,4.27,4.3,2.68,2,1,1,756.2862645840905
2433,1.16,Ideal,J,SI1,60.7,57.0,6.83,6.77,4.13,1,2,4,5463.190978787246
2434,0.3,Premium,E,VS2,59.1,58.0,4.37,4.39,2.59,1,1,3,858.1400347215349
2435,1.0,Very Good,E,VVS2,61.7,55.0,6.38,6.42,3.95,2,1,2,8769.929327184243
2436,0.94,Fair,H,SI1,68.4,53.0,6.05,5.97,4.11,3,2,4,2813.5356891212396
2437,0.5,Ideal,I,VS2,62.4,55.0,5.09,5.11,3.18,1,2,3,1494.4742343284088
2438,1.2,Ideal,E,SI2,62.0,57.0,6.8,6.82,4.22,1,1,4,6689.501003137324
2439,0.4,Very Good,G,VVS1,60.9,57.0,4.76,4.8,2.91,2,2,2,1079.1041953598324
2440,0.62,Ideal,D,SI1,60.8,59.0,5.48,5.5,3.34,1,1,4,1793.4004594507278
2441,1.02,Good,G,VS2,63.7,57.0,6.24,6.31,4.0,2,2,3,5483.793405248267
2442,0.96,Very Good,I,SI2,62.7,58.0,6.2,6.24,3.9,2,2,4,3939.7420938972973
